,a,b,c,d,e,tess,Truth
11932,Commlttee.,Mr.,Chrlstofano,15,an,Chrlstofano,Christofano
11935,15,an,Industrlal,Hyglenlst,for,Industrlal,Industrial
11936,an,Industrlal,Hyglenlst,for,Hercules,Hyglenlst,Hygienist
11939,for,Hercules,Incozporated.,cm,035990,Incozporated.,Incorporated.
11940,Hercules,Incozporated.,cm,035990,Exhlblt,cm,CMA
11941,Incozporated.,cm,035990,Exhlblt,F,035990,036990
11942,cm,035990,Exhlblt,F,upon,Exhlblt,Exhibit
11947,TO,THE,13mm:,017,ummmns,13mm:,BOARD
11948,THE,13mm:,017,ummmns,mmmcmnms,017,OF
11949,13mm:,017,ummmns,mmmcmnms,CHEMISTS,ummmns,DIRECTORS
11950,017,ummmns,mmmcmnms,CHEMISTS,ASSOCIATION,mmmcmnms,MANUFACTURING
11960,"DRUG,",AND,cosMETIc,CHEMICALS,COMMITTEE,cosMETIc,COSMETIC
11973,have,the,opportunlty,to,report,opportunlty,opportunity
11980,on,the,actlvltles,of,the,actlvltles,activities
11988,to,share,mm,you,thoughts,mm,with
11997,of,my,assoclatlon,mm,the,assoclatlon,association
11998,my,assoclatlon,mm,the,work,mm,with
12004,the,Commlttee,durlng,the,past,durlng,during
12012,"know,",the,objectlves,and,the,objectlves,objectives
12015,and,the,functlon,of,the,functlon,function
12024,follows:,"""To",advlse,thp,Board,advlse,advise
12028,Board,of,Dlrectors,concernlng,chemlcals,Dlrectors,Directors
12029,of,Dlrectors,concernlng,chemlcals,used,concernlng,concerning
12030,Dlrectors,concernlng,chemlcals,used,1n,chemlcals,chemicals
12032,chemlcals,used,1n,"foods,","drugs,",1n,in
12036,"drugs,",and,"cosmetlcs,",and,1n,"cosmetlcs,","cosmetics,"
12038,"cosmetlcs,",and,1n,accord,mm,1n,in
12040,1n,accord,mm,Assoclatlon,pollcles,mm,with
12041,accord,mm,Assoclatlon,pollcles,and,Assoclatlon,Association
12042,mm,Assoclatlon,pollcles,and,"procedures,",pollcles,policies
12046,"procedures,",develop,posltlons,on,leglslatlon,posltlons,positions
12048,posltlons,on,leglslatlon,and,regulatlons,leglslatlon,legislation
12050,leglslatlon,and,regulatlons,affect?,mg,regulatlons,regulations
12051,and,regulatlons,affect?,mg,such,affect?,affect­
12052,regulatlons,affect?,mg,such,"chemlcals,",mg,ing
12054,mg,such,"chemlcals,",formulate,prlnclples,"chemlcals,","chemicals,"
12056,"chemlcals,",formulate,prlnclples,and,encourage,prlnclples,principles
12059,and,encourage,technlcal,development,pertlnent,technlcal,technical
12061,technlcal,development,pertlnent,m,thelr,pertlnent,pertinent
12063,pertlnent,m,thelr,use,and,thelr,their
12067,and,cooperate,Hlth,other,organlzatlons,Hlth,with
12069,Hlth,other,organlzatlons,havlng,parallel,organlzatlons,organizations
12070,other,organlzatlons,havlng,parallel,1nterests,havlng,having
12072,havlng,parallel,1nterests,Conslderlng,the,1nterests,interests
12073,parallel,1nterests,Conslderlng,the,rapid,Conslderlng,Considering
12079,of,developments,1n,the,past,1n,in
12085,"years,",these,responslbllltles,represent,no,responslbllltles,responsibilities
12091,task.,The,actlvltles,of,the,actlvltles,activities
12095,the,Commlttee,durlng,the,past,durlng,during
12101,have,been,dlrected,largely,toward,dlrected,directed
12104,largely,toward,consolldatlng,and,unplementlng,consolldatlng,consolidating
12106,consolldatlng,and,unplementlng,organlzatlonal,1mprovements,unplementlng,implementing
12107,and,unplementlng,organlzatlonal,1mprovements,1n1tlated,organlzatlonal,organizational
12108,unplementlng,organlzatlonal,1mprovements,1n1tlated,durlng,1mprovements,improvements
12109,organlzatlonal,1mprovements,1n1tlated,durlng,the,1n1tlated,initiated
12110,1mprovements,1n1tlated,durlng,the,precedlng,durlng,during
12112,durlng,the,precedlng,year.,The,precedlng,preceding
12115,year.,The,organlzatlonal,structure,that,organlzatlonal,organizational
12120,has,been,establlshed,conslsts,essentlally,establlshed,established
12121,been,establlshed,conslsts,essentlally,of,conslsts,consists
12122,establlshed,conslsts,essentlally,of,a,essentlally,essentially
12125,of,a,leglslatlve,and,regulatory,leglslatlve,legislative
12128,and,regulatory,"subcommlttee,",a,sclentlflc,"subcommlttee,","subcommittee,"
12130,"subcommlttee,",a,sclentlflc,"subcommlttee,",and,sclentlflc,scientific
12131,a,sclentlflc,"subcommlttee,",and,a,"subcommlttee,","subcommittee,"
12134,and,a,communi,leatlons,"subcommlttEE,",communi,commun­
12135,a,communi,leatlons,"subcommlttEE,",whlch,leatlons,ications
12136,communi,leatlons,"subcommlttEE,",whlch,are,"subcommlttEE,","subcommittee,"
12137,leatlons,"subcommlttEE,",whlch,are,deslgned,whlch,which
12139,whlch,are,deslgned,to,closely,deslgned,designed
12143,closely,follow,develop*,ments,1n,develop*,develop­
12145,develop*,ments,1n,thelr,respectlve,1n,in
12146,ments,1n,thelr,respectlve,areas.,thelr,their
12147,1n,thelr,respectlve,areas.,The,respectlve,respective
12150,areas.,The,subcommlttees.,through,thelr,subcommlttees.,"subcommittees,"
12152,subcommlttees.,through,thelr,respectlve,"chalmen,",thelr,their
12153,through,thelr,respectlve,"chalmen,",and,respectlve,respective
12154,thelr,respectlve,"chalmen,",and,the,"chalmen,","chairmen,"
12157,and,the,steerlng,"subcommlttee,",functlon,steerlng,steering
12158,the,steerlng,"subcommlttee,",functlon,by,"subcommlttee,","subcommittee,"
12159,steerlng,"subcommlttee,",functlon,by,developmg,functlon,function
12161,functlon,by,developmg,and,referrlng,developmg,developing
12163,developmg,and,referrlng,wellideveloped,reports,referrlng,referring
12164,and,referrlng,wellideveloped,reports,and,wellideveloped,well-developed
12173,Commlttee,for,revlew,and,actlon.,revlew,review
12175,revlew,and,actlon.,Th1:,structural,actlon.,action.
12176,and,actlon.,Th1:,structural,concept,Th1:,This
12183,of,the,avaliable,manpower,by,avaliable,available
12186,manpower,by,establlshlng,a,welldeflned,establlshlng,establishing
12188,establlshlng,a,welldeflned,dlvlslon,of,welldeflned,welldefined
12189,a,welldeflned,dlvlslon,of,the,dlvlslon,division
12194,work,areas;,ellmlnatlng,repetltlous,"meetlngs,",ellmlnatlng,eliminating
12195,areas;,ellmlnatlng,repetltlous,"meetlngs,",and,repetltlous,repetitious
12196,ellmlnatlng,repetltlous,"meetlngs,",and,concentratlng,"meetlngs,","meetings,"
12198,"meetlngs,",and,concentratlng,on,developmg,concentratlng,concentrating
12200,concentratlng,on,developmg,concrete,proposals,developmg,developing
12205,for,the,basls,of,Commlttee,basls,basis
12208,of,Commlttee,actlon.,Task,force,actlon.,action.
12211,Task,force,unlts,mm,speclflc,unlts,units
12212,force,unlts,mm,speclflc,areas,mm,with
12213,unlts,mm,speclflc,areas,of,speclflc,specific
12216,areas,of,asslgni,men:,Within,asslgni,assign­
12217,of,asslgni,men:,Within,these,men:,ment
12221,these,broad,llnes,of,dlvlslon,llnes,lines
12223,llnes,of,dlvlslon,have,also,dlvlslon,division
12231,advantage.,CMA,035991,Durlng,the,035991,036991
12232,CMA,035991,Durlng,the,past,Durlng,During
12242,prepared,and,submltted,extenslve,comments,submltted,submitted
12243,and,submltted,extenslve,comments,on,extenslve,extensive
12249,FDA,proposed,Admlnlstratlve,Practlces,and,Admlnlstratlve,Administrative
12250,proposed,Admlnlstratlve,Practlces,and,Procedures,Practlces,Practices
12253,and,Procedures,"regulatlons,",of,partlcular,"regulatlons,","regulations,"
12255,"regulatlons,",of,partlcular,unportance,to,partlcular,particular
12256,of,partlcular,unportance,to,MCA,unportance,importance
12262,the,FDA,posltlon,stated,1n,posltlon,position
12264,posltlon,stated,1n,Sectlon,2.23,1n,in
12265,stated,1n,Sectlon,2.23,(by,Sectlon,Section
12271,these,proposed,regulatlons.,that,any,regulatlons.,"regulations,"
12274,that,any,representatlon,made,by,representatlon,representation
12279,a,trade,assoclatlon,"""shall",be,assoclatlon,association
12285,behalf,of,1::,members,and,1::,its
12289,and,shall,constltute,a,represeni,constltute,constitute
12291,constltute,a,represeni,tatlon,on,represeni,represen­
12292,a,represeni,tatlon,on,behalf,tatlon,tation
12301,the,trade,assoclatlon.,except,those,assoclatlon.,"association,"
12304,except,those,speclflcally,excluded,by,speclflcally,specifically
12308,by,name,1n,any,such,1n,in
12311,any,such,"submlsslon.""",The,obstacles,"submlsslon.""","submission."""
12315,obstacles,to,equltable,admlnlstratlon,of,equltable,equitable
12316,to,equltable,admlnlstratlon,of,justlce,admlnlstratlon,administration
12318,admlnlstratlon,of,justlce,under,the,justlce,justice
12329,such,a,provlslon,are,so,provlslon,provision
12336,to,preclude,detalled,reference,1n,detalled,detailed
12338,detalled,reference,1n,thls,report.,1n,in
12339,reference,1n,thls,report.,Such,thls,this
12342,report.,Such,objectlons,have,been,objectlons,objections
12347,fully,documented,1n,our,submlsslon,1n,in
12349,1n,our,submlsslon,to,FDA.,submlsslon,submission
12357,the,proposed,regulatlons,to,whlch,regulatlons,regulations
12359,regulatlons,to,whlch,we,have,whlch,which
12362,we,have,submltted,substantlal,comments,submltted,submitted
12363,have,submltted,substantlal,comments,have,substantlal,substantial
12366,comments,have,1ncluded,a,proposed,1ncluded,included
12369,a,proposed,llmltatlon,on,the,llmltatlon,limitation
12372,on,the,opportunlty,to,present,opportunlty,opportunity
12376,present,oral,testlmony,and,to,testlmony,testimony
12379,and,to,cross*exam1ne,wltnesses,durlng,cross*exam1ne,cross-examine
12380,to,cross*exam1ne,wltnesses,durlng,"hearlngs,",wltnesses,witnesses
12381,cross*exam1ne,wltnesses,durlng,"hearlngs,",and,durlng,during
12382,wltnesses,durlng,"hearlngs,",and,the,"hearlngs,","hearings,"
12385,and,the,establlshment,of,crlterla,establlshment,establishment
12387,establlshment,of,crlterla,whlch,the,crlterla,criteria
12388,of,crlterla,whlch,the,FDA,whlch,which
12392,FDA,asserted,constltuted,a,proper,constltuted,constituted
12395,a,proper,basls,on,whlch,basls,basis
12397,basls,on,whlch,to,deny,whlch,which
12403,petition,or,rlght,to,a,rlght,right
12406,to,a,hearlng.,These,provlslons,hearlng.,hearing.
12408,hearlng.,These,provlslons,and,others,provlslons,provisions
12412,others,of,Varylng,degrees,of,Varylng,varying
12415,degrees,of,unportance,and,unpact,unportance,importance
12417,unportance,and,unpact,are,not,unpact,impact
12422,merely,a,codlflcatlon,of,exlstlng,codlflcatlon,codification
12424,codlflcatlon,of,exlstlng,FDA,"procedures,",exlstlng,existing
12428,"procedures,",but,1n,many,"respects,",1n,in
12433,represent,a,baslc,change,1n,baslc,basic
12435,baslc,change,1n,practlces,that,1n,in
12436,change,1n,practlces,that,restrlct',practlces,practices
12438,practlces,that,restrlct',the,rlghts,restrlct',restrict'
12440,restrlct',the,rlghts,of,1nd1v1duals,rlghts,rights
12442,rlghts,of,1nd1v1duals,subject,to,1nd1v1duals,individuals
12447,the,agency's,jurlsdlctlon,m,obtaln,jurlsdlctlon,jurisdiction
12449,jurlsdlctlon,m,obtaln,conslderatlon,and,obtaln,obtain
12450,m,obtaln,conslderatlon,and,revlew.,conslderatlon,consideration
12452,conslderatlon,and,revlew.,Another,leglslatlve,revlew.,review.
12454,revlew.,Another,leglslatlve,development,of,leglslatlve,legislative
12457,development,of,unportance,whlch,15,unportance,importance
12458,of,unportance,whlch,15,now,whlch,which
12462,now,under,revlew,by,the,revlew,review
12465,by,the,leglslatlve,and,regulatory,leglslatlve,legislative
12468,and,regulatory,subcommlttee,15,the,subcommlttee,subcommittee
12473,Kennedy,Food,Survelllance,13111,5.541.,Survelllance,Surveillance
12474,Food,Survelllance,13111,5.541.,Although,13111,Bill
12475,Survelllance,13111,5.541.,Although,orlglnally,5.541.,S.641.
12477,5.541.,Although,orlglnally,heralded,as,orlglnally,originally
12480,heralded,as,applylng,prlmarlly,to,applylng,applying
12481,as,applylng,prlmarlly,to,food,prlmarlly,primarily
12484,to,food,manufacturlng,and,processlng,manufacturlng,manufacturing
12486,manufacturlng,and,processlng,establlshi,ments.,processlng,processing
12487,and,processlng,establlshi,ments.,thls,establlshi,establish­
12489,establlshi,ments.,thls,proposed,leglslatlon,thls,this
12491,thls,proposed,leglslatlon,has,unpllcatlons,leglslatlon,legislation
12493,leglslatlon,has,unpllcatlons,extendlng,beyond,unpllcatlons,implications
12494,has,unpllcatlons,extendlng,beyond,these,extendlng,extending
12500,Under,the,manufacturlng,"sectlons,",survelllance,manufacturlng,manufacturing
12501,the,manufacturlng,"sectlons,",survelllance,features,"sectlons,","sections,"
12502,manufacturlng,"sectlons,",survelllance,features,are,survelllance,surveillance
12505,features,are,1ncluded,relatlng,to,1ncluded,included
12506,are,1ncluded,relatlng,to,the,relatlng,relating
12509,to,the,establlshment,of,safety,establlshment,establishment
12513,safety,assurance,pro*,cedures,Hlthln,pro*,pro­
12515,pro*,cedures,Hlthln,"plants,",product,Hlthln,within
12518,"plants,",product,"codlng,",record,"keeplng,","codlng,","coding,"
12520,"codlng,",record,"keeplng,",and,1n5pectlons.,"keeplng,","keeping,"
12522,"keeplng,",and,1n5pectlons.,In,addltlon,1n5pectlons.,inspections.
12524,1n5pectlons.,In,addltlon,the,13111,addltlon,addition
12526,addltlon,the,13111,contalns,provlslons,13111,Bill
12527,the,13111,contalns,provlslons,for,contalns,contains
12528,13111,contalns,provlslons,for,requlrlng,provlslons,provisions
12530,provlslons,for,requlrlng,reglstratlon,of,requlrlng,requiring
12531,for,requlrlng,reglstratlon,of,food,reglstratlon,registration
12534,of,food,establlshments.,However.,1n,establlshments.,establishments.
12536,establlshments.,However.,1n,a,broader,1n,in
12541,"context,",the,13111,imposes,obllgatlons,13111,Bill
12543,13111,imposes,obllgatlons,on,food,obllgatlons,obligations
12548,processors,to,1mmedlately,notlfy,the,1mmedlately,immediately
12549,to,1mmedlately,notlfy,the,1n5t1tutlon,notlfy,notify
12551,notlfy,the,1n5t1tutlon,of,a,1n5t1tutlon,institution
12566,be,"adulterated.""",Cltlzens,clvll,actlons,Cltlzens,Citizens
12567,"adulterated.""",Cltlzens,clvll,actlons,also,clvll,civil
12568,Cltlzens,clvll,actlons,also,are,actlons,actions
12571,also,are,authorrlzed,under,the,authorrlzed,authorrized
12574,under,the,13111.,"Addltlonally,",the,13111.,Bill.
12575,the,13111.,"Addltlonally,",the,13111,"Addltlonally,","Additionally,"
12577,"Addltlonally,",the,13111,contalns,extenslve,13111,Bill
12578,the,13111,contalns,extenslve,new,contalns,contains
12579,13111,contalns,extenslve,new,requlrements,extenslve,extensive
12581,extenslve,new,requlrements,pertaining,to,requlrements,requirements
12589,of,all,lngredlents.,1n,addltlon,lngredlents.,ingredients.
12590,all,lngredlents.,1n,addltlon,to,1n,in
12591,lngredlents.,1n,addltlon,to,these,addltlon,addition
12594,to,these,actlvltles.,the,Commlttee,actlvltles.,"activities,"
12599,has,also,monltored,the,mar,monltored,monitored
12601,monltored,the,mar,Carclnogenlc,Bloassay,mar,NCI
12602,the,mar,Carclnogenlc,Bloassay,"program,",Carclnogenlc,Carcinogenic
12603,mar,Carclnogenlc,Bloassay,"program,",the,Bloassay,Bioassay
12608,FCC,and,FAD/WHD,monographs,for,FAD/WHD,FAO/WHO
12612,for,food,"chemlcals,",and,the,"chemlcals,","chemicals,"
12616,the,FDA,revlew,of,GRAS,revlew,review
12621,substances.,CMA,035992,These,actlvltles,035992,036992
12623,035992,These,actlvltles,have,been,actlvltles,activities
12626,have,been,carrled,out,prlmarlly,carrled,carried
12628,carrled,out,prlmarlly,under,the,prlmarlly,primarily
12634,of,the,sclentlflc,subcomlttee,together,sclentlflc,scientific
12635,the,sclentlflc,subcomlttee,together,mm,subcomlttee,subcommittee
12637,subcomlttee,together,mm,a,number,mm,with
12643,other,projects,relatlng,to,technlcal,relatlng,relating
12645,relatlng,to,technlcal,developments,1n,technlcal,technical
12647,technlcal,developments,1n,the,area,1n,in
12654,"drug,",and,cosmetlc,"chemlcals,",The,cosmetlc,cosmetic
12655,and,cosmetlc,"chemlcals,",The,development,"chemlcals,","chemicals,"
12661,proposed,Good,Manufacturlng,Practlces,Guldellnes,Manufacturlng,Manufacturing
12662,Good,Manufacturlng,Practlces,Guldellnes,for,Practlces,Practices
12663,Manufacturlng,Practlces,Guldellnes,for,bulk,Guldellnes,Guidelines
12669,and,food,chemlcals,15,presently,chemlcals,chemicals
12675,study,by,thls,subcomlttee.,In,thls,this
12676,by,thls,subcomlttee.,In,addltlon.,subcomlttee.,subcommittee.
12678,subcomlttee.,In,addltlon.,technlcal,liaison,addltlon.,"addition,"
12679,In,addltlon.,technlcal,liaison,15,technlcal,technical
12682,liaison,15,carrled,out,mm,carrled,carried
12684,carrled,out,mm,the,actlvltles,mm,with
12686,mm,the,actlvltles,of,"PMA,",actlvltles,activities
12696,drugs,and,Hlth,"GMA,",as,Hlth,with
12703,to,food,chemlcals.,A,project,chemlcals.,chemicals.
12707,project,presently,actlve,Hlthln,the,actlve,active
12708,presently,actlve,Hlthln,the,communlcatlons,Hlthln,within
12710,Hlthln,the,communlcatlons,sub?,commlttee,communlcatlons,communications
12711,the,communlcatlons,sub?,commlttee,15,sub?,sub­
12712,communlcatlons,sub?,commlttee,15,the,commlttee,committee
12721,for,the,fomatlon,of,a,fomatlon,formation
12724,of,a,chemlcal,1ndustry,1nformatlon,chemlcal,chemical
12725,a,chemlcal,1ndustry,1nformatlon,center.,1ndustry,industry
12726,chemlcal,1ndustry,1nformatlon,center.,Although,1nformatlon,information
12730,Although,the,detalls,of,the,detalls,details
12733,of,the,organlzatlon,and,operatlon,organlzatlon,organization
12735,organlzatlon,and,operatlon,of,such,operatlon,operation
12741,center,and,Varlous,conslderatlons,relatlng,Varlous,various
12742,and,Varlous,conslderatlons,relatlng,to,conslderatlons,considerations
12743,Varlous,conslderatlons,relatlng,to,1:5,relatlng,relating
12745,relatlng,to,1:5,establlshment,are,1:5,its
12746,to,1:5,establlshment,are,not,establlshment,establishment
12750,not,yet,deflned,1n,concrete,deflned,defined
12751,yet,deflned,1n,concrete,"terms,",1n,in
12756,1:,15,belleved,that,such,belleved,believed
12764,help,to,unprove,the,publlc's,unprove,improve
12766,unprove,the,publlc's,understandlng,of,publlc's,public's
12767,the,publlc's,understandlng,of,questlons,understandlng,understanding
12769,understandlng,of,questlons,and,controversles,questlons,questions
12771,questlons,and,controversles,that,confront,controversles,controversies
12776,our,1ndustry.,Whlle,the,above,Whlle,While
12779,the,above,descrlbe,brlefly,the,descrlbe,describe
12780,above,descrlbe,brlefly,the,broad,brlefly,briefly
12785,spectrum,of,"actlxk,",tles,that,"actlxk,","activ-,"
12786,of,"actlxk,",tles,that,have,tles,ties
12790,have,been,carrled,forward,durlng,carrled,carried
12792,carrled,forward,durlng,the,past,durlng,during
12800,of,the,Commlttee's,actlvltles,would,Commlttee's,Committee's
12801,the,Commlttee's,actlvltles,would,not,actlvltles,activities
12806,be,complete,wlthout,an,approprlate,wlthout,without
12827,MCA.,Such,objectlves,clearly,must,objectlves,objectives
12832,be,understood,1n,the,llght,1n,in
12834,1n,the,llght,of,the,llght,light
12837,of,the,leglslatlve,and,regulatory,leglslatlve,legislative
12840,and,regulatory,cllmate,that,exlsts,cllmate,climate
12842,cllmate,that,exlsts,today.,Seen,exlsts,exists
12845,today.,Seen,1n,thls,"perspectlve,",1n,in
12846,Seen,1n,thls,"perspectlve,",one,thls,this
12847,1n,thls,"perspectlve,",one,can,"perspectlve,","perspective,"
12864,keep,up,Hlth,developments,and,Hlth,with
12868,and,the,frustratlon,of,bemg,frustratlon,frustration
12870,frustratlon,of,bemg,able,only,bemg,being
12874,only,to,superflclally,react,to,superflclally,superficially
12878,to,the,Varlous,problems,that,Varlous,various
12881,problems,that,contlnue,to,arlse.,contlnue,continue
12883,contlnue,to,arlse.,Desplte,the,arlse.,arise.
12884,to,arlse.,Desplte,the,dlllgent,Desplte,Despite
12886,Desplte,the,dlllgent,efforts,of,dlllgent,diligent
12889,efforts,of,restructurlng,the,FDCC,restructurlng,restructuring
12903,the,MCA,actlvlty,1n,thls,actlvlty,activity
12904,MCA,actlvlty,1n,thls,area,1n,in
12905,actlvlty,1n,thls,area,should,thls,this
12910,be,undertaken.,"courSE,",a,Varlety,"courSE,","course,"
12912,"courSE,",a,Varlety,of,ways,Varlety,variety
12915,of,ways,1n,whlch,response,1n,in
12916,ways,1n,whlch,response,to,whlch,which
12921,the,greater,rden,1n,thls,rden,burden
12922,greater,rden,1n,thls,area,1n,in
12923,rden,1n,thls,area,of,thls,this
12927,of,our,actlvltles,can,be,actlvltles,activities
12951,partly,ular,solutlon.,1:,15,solutlon.,solution.
12954,1:,15,"approprlate,","however,",to,"approprlate,","appropriate,"
12957,"however,",to,recognlze,that,the,recognlze,recognize
12963,may,have,arrlved,whep,the,arrlved,arrived
12967,the,means,whlch,have,erved,whlch,which
12969,whlch,have,erved,us,well,erved,served
12972,us,well,1n,the,past,1n,in
12988,area,of,food.,"drug,",and,food.,"food,"
12991,"drug,",and,cosmetlc,chemlcals.,MCA,cosmetlc,cosmetic
12992,and,cosmetlc,chemlcals.,MCA,has,chemlcals.,chemicals.
12996,has,always,prlded,1tself,on,prlded,prided
12997,always,prlded,1tself,on,the,1tself,itself
13002,fact,at,commlttee,leader?,Ship,commlttee,committee
13003,at,commlttee,leader?,Ship,and,leader?,leader­
13004,commlttee,leader?,Ship,and,most,Ship,ship
13009,of,the,worklng,1nput,com,worklng,working
13010,the,worklng,1nput,com,from,1nput,input
13011,worklng,1nput,com,from,the,com,comes
13015,the,member,companles.,I,suggest,companles.,companies.
13031,of,CMA,035993,511,prollferatlng,035993,036993
13032,CMA,035993,511,prollferatlng,Leglslatlon,511,fli
13033,035993,511,prollferatlng,Leglslatlon,and,prollferatlng,proliferating
13034,511,prollferatlng,Leglslatlon,and,"gulatlon,",Leglslatlon,Legislation
13036,Leglslatlon,and,"gulatlon,",such,as,"gulatlon,","regulation,"
13042,drug,and,cosmetlc,law.,These,cosmetlc,cosmetic
13064,member,company.,Therefore.,I,urge,Therefore.,"Therefore,"
13067,I,urge,thls,card,to,thls,this
13068,urge,thls,card,to,appoint,card,Board
13072,appoint,a,commlttee,to,study,commlttee,committee
13080,from,where,ould,the,leadershlp,ould,should
13082,ould,the,leadershlp,of,any,leadershlp,leadership
13085,of,any,partlcular,commlttee,come.,partlcular,particular
13086,any,partlcular,commlttee,come.,Should,commlttee,committee
13098,should,1:,contlnue,to,come,contlnue,continue
13104,the,mber,companles.,The,conclusl,companles.,companies.
13106,companles.,The,conclusl,may,not,conclusl,conclusion
13124,should,be,glv,a,fresh,glv,given
13131,c,A,035994,Exhlblt,G,035994,036994
13132,A,035994,Exhlblt,G,REPORT,Exhlblt,Exhibit
13136,REPORT,TO,T-E,BOARD,017,T-E,THE
13138,T-E,BOARD,017,ummmns,MANUFACTURI'G,017,OF
13139,BOARD,017,ummmns,MANUFACTURI'G,CHEMISTS,ummmns,DIRECTORS
13140,017,ummmns,MANUFACTURI'G,CHEMISTS,ASSOCIATION,MANUFACTURI'G,MANUFACTURING
13145,GEORGE,A.,"CWFFENBERG,",CHAIRMAN,TRANSPORTAT,"CWFFENBERG,","COFFENBERG,"
13154,MAY,"11,",197.,In,ray,197.,1976
13167,Commlttee,on,Aprll,a,.5,Aprll,April
13169,Aprll,a,.5,last,"year,",.5,of
13173,"year,",I,restrlcted,my,comments,restrlcted,restricted
13178,to,two,ltems,of,major,ltems,items
13181,of,major,"51g,",nlflcance,h-Vlng,"51g,",sig­
13182,major,"51g,",nlflcance,h-Vlng,future,nlflcance,nificance
13183,"51g,",nlflcance,h-Vlng,future,1mpact,h-Vlng,having
13185,h-Vlng,future,1mpact,on,the,1mpact,impact
13188,on,the,chemlcal,1ndustry.,A,chemlcal,chemical
13192,A,more,detalled,report,on,detalled,detailed
13212,on,three,toplcs,and,I,toplcs,topics
13219,to,the,?lled,report,for,?lled,filed
13223,for,the,bal.nce.,The,chemlca,bal.nce.,balance.
13225,bal.nce.,The,chemlca,1ndustry,owns,chemlca,chemical
13226,The,chemlca,1ndustry,owns,or,1ndustry,industry
13230,or,operates,approxlmately,"57,000",tank,approxlmately,approximately
13231,operates,approxlmately,"57,000",tank,cars,"57,000","67,000"
13236,and,15,compnsated,by,the,compnsated,compensated
13239,by,the,rallroads,through,a,rallroads,railroads
13242,through,a,mlleage,allowance,of,mlleage,mileage
13248,11.071,to,23.914,pr,loaded,23.914,23.814
13252,loaded,car,mlle,dependlng,on,mlle,mile
13253,car,mlle,dependlng,on,the,dependlng,depending
13261,car.,The,r51]:,roads,pay,r51]:,rail­
13267,allowance,to,suppllers,of,prlvate,suppllers,suppliers
13269,suppllers,of,prlvate,r511,cars,prlvate,private
13270,of,prlvate,r511,cars,1n,r511,rail
13272,r511,cars,1n,that,freight,1n,in
13277,rates,take,1nto,c-nslderatlon,a,1nto,into
13278,take,1nto,c-nslderatlon,a,cost,c-nslderatlon,consideration
13283,to,the,rallroads,of,supplylng,rallroads,railroads
13285,rallroads,of,supplylng,cars.,Prlor,supplylng,supplying
13287,supplylng,cars.,Prlor,to,"1954,",Prlor,Prior
13289,Prlor,to,"1954,",the,alowance,"1954,","1964,"
13291,"1954,",the,alowance,per,mlle,alowance,allowance
13293,alowance,per,mlle,was,a,mlle,mile
13296,was,a,onsilevel,allowance.,A,onsilevel,one-level
13302,owner,or,operai,tor,was,operai,opera­
13305,tor,was,pal,the,same,pal,paid
13310,rate,per,mlle,1rrespect1ve,of,mlle,mile
13311,per,mlle,1rrespect1ve,of,whether,1rrespect1ve,irrespective
13320,value,The,chemlcal,"1ndustry,",havlng,chemlcal,chemical
13321,The,chemlcal,"1ndustry,",havlng,the,"1ndustry,","industry,"
13322,chemlcal,"1ndustry,",havlng,the,newer,havlng,having
13326,newer,and,hlgher,Valued,"cars,",hlgher,higher
13327,and,hlgher,Valued,"cars,",was,Valued,valued
13335,that,the,compensatlon,paid,by,compensatlon,compensation
13339,by,the,rallroads,should,recognlze,rallroads,railroads
13341,rallroads,should,recognlze,the,dlfference,recognlze,recognize
13343,recognlze,the,dlfference,.5,1nvestment,dlfference,difference
13344,the,dlfference,.5,1nvestment,1n,.5,of
13345,dlfference,.5,1nvestment,1n,the,1nvestment,investment
13346,.5,1nvestment,1n,the,cars,1n,in
13352,pay,a,hlgher,allowance,to,hlgher,higher
13357,the,more,Valuable,(:55,than,Valuable,valuable
13358,more,Valuable,(:55,than,paid,(:55,cars
13365,of,lower,Value.,After,long,Value.,value.
13368,After,long,"negotlatlons,",a,:rklevel,"negotlatlons,","negotiations,"
13370,"negotlatlons,",a,:rklevel,sstem,of,:rklevel,tri-level
13371,a,:rklevel,sstem,of,compensatlon,sstem,system
13373,sstem,of,compensatlon,was,establlshed,compensatlon,compensation
13375,compensatlon,was,establlshed,1n,November,establlshed,established
13376,was,establlshed,1n,November,1954.,1n,in
13378,1n,November,1954.,"However,",because,1954.,1964.
13382,because,of,lsagreement,among,the,lsagreement,disagreement
13385,among,the,rallroads,as,to,rallroads,railroads
13403,Interstate,Commerce,Commlsslon,11cm,Hlth,Commlsslon,Commission
13404,Commerce,Commlsslon,11cm,Hlth,the,11cm,(ICC)
13405,Commlsslon,11cm,Hlth,the,car,Hlth,with
13408,the,car,supllers,on,one,supllers,suppliers
13411,on,one,slde,and,the,slde,side
13414,and,the,rallroads,on,the,rallroads,railroads
13418,the,other.,Commencing,1n,1954,Commencing,Coomienclng
13419,other.,Commencing,1n,1954,through,1n,in
13420,Commencing,1n,1954,through,May,1954,1964
13424,May,of,thls,"year,",three,thls,this
13429,major,car,compensai,tlon,cases,compensai,compensa­
13430,car,compensai,tlon,cases,ave,tlon,tion
13432,tlon,cases,ave,been,adjudlcated,ave,have
13434,ave,been,adjudlcated,before,the,adjudlcated,adjudicated
13445,rable,ma,declsl-,m,an,declsl-,decision
